Core, 0, 0
Cumulative_Cycles, 0, 7726                
Cumulative_Instructions, 0, 1003                
Periodic_Cycles, 0, 7726                
Periodic_Instructions, 0, 1003                
EXECUTION_TIME_count, 0,    2414375000
EXECUTION_TIME_total_count, 0,    2414375000

NODE_CYCLE_count, 0,          7726
NODE_CYCLE_total_count, 0,          7726

NODE_INST_COUNT_count, 0,          1003
NODE_INST_COUNT_total_count, 0,          1003

NODE_INST_COUNT_FETCHED_count, 0,          1003
NODE_INST_COUNT_FETCHED_total_count, 0,          1003

NODE_UOP_COUNT_count, 0,          1068
NODE_UOP_COUNT_total_count, 0,          1068

EXEC_STAGE_NO_ISSUE_STALL_CYCLE_count, 0,           555
EXEC_STAGE_NO_ISSUE_STALL_CYCLE_total_count, 0,           555

EXEC_STAGE_NO_ISSUE_STALL_CYCLE_ONPATH_count, 0,           433
EXEC_STAGE_NO_ISSUE_STALL_CYCLE_ONPATH_total_count, 0,           433

FULL_WINDOW_STALL_count, 0,            35
FULL_WINDOW_STALL_pct, 0,        0.453
FULL_WINDOW_STALL_total_count, 0,            35
FULL_WINDOW_STALL_total_pct, 0,        0.453

FULL_WINDOW_MEM_OP_count, 374,            33
FULL_WINDOW_MEM_OP_total_count, 374,            33

FULL_WINDOW_FP_OP_count, 374,             0
FULL_WINDOW_FP_OP_total_count, 374,             0

FULL_WINDOW_OTHER_OP_count, 374,             0
FULL_WINDOW_OTHER_OP_total_count, 374,             0

RET_BLOCKED_DC_MISS_count, 0,          6273
RET_BLOCKED_DC_MISS_pct, 0,       81.193
RET_BLOCKED_DC_MISS_total_count, 0,          6273
RET_BLOCKED_DC_MISS_total_pct, 0,       81.193

RET_BLOCKED_L1_MISS_count, 0,          5593
RET_BLOCKED_L1_MISS_pct, 0,       72.392
RET_BLOCKED_L1_MISS_total_count, 0,          5593
RET_BLOCKED_L1_MISS_total_pct, 0,       72.392

RET_BLOCKED_L1_MISS_BW_PREF_count, 0,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct, 0,        0.000
RET_BLOCKED_L1_MISS_BW_PREF_total_count, 0,             0
RET_BLOCKED_L1_MISS_BW_PREF_total_pct, 0,        0.000

RET_BLOCKED_L1_ACCESS_count, 0,           680
RET_BLOCKED_L1_ACCESS_pct, 0,        8.801
RET_BLOCKED_L1_ACCESS_total_count, 0,           680
RET_BLOCKED_L1_ACCESS_total_pct, 0,        8.801

RET_BLOCKED_MEM_STALL_count, 0,          5593
RET_BLOCKED_MEM_STALL_pct, 0,       72.392
RET_BLOCKED_MEM_STALL_total_count, 0,          5593
RET_BLOCKED_MEM_STALL_total_pct, 0,       72.392

RET_BLOCKED_OFFCHIP_DEMAND_count, 0,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct, 0,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count, 0,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct, 0,        0.000

OP_ISSUED_count, 0,          1467
OP_ISSUED_total_count, 0,          1467

OP_RETIRED_count, 0,          1068
OP_RETIRED_total_count, 0,          1068

OP_MACRO_FUSION_ONPATH_count, 0,             0
OP_MACRO_FUSION_ONPATH_total_count, 0,             0

OP_MACRO_FUSION_OFFPATH_count, 0,             0
OP_MACRO_FUSION_OFFPATH_total_count, 0,             0

REPLAY_SIGNALED_count, 0,             0
REPLAY_SIGNALED_total_count, 0,             0

REPLAY_COUNTED_count, 0,             0
REPLAY_COUNTED_total_count, 0,             0

OFF_CRITICAL_PATH_count, 375,             0
OFF_CRITICAL_PATH_total_count, 375,             0

ON_CRITICAL_PATH_count, 375,             0
ON_CRITICAL_PATH_total_count, 375,             0

LD_NO_DEPENDENTS_count, 376,            44
LD_NO_DEPENDENTS_total_count, 376,            44

LD_DEPENDENTS_count, 376,           206
LD_DEPENDENTS_total_count, 376,           206

LD_EXEC_CYCLES_0_count, 377,             0
LD_EXEC_CYCLES_0_total_count, 377,             0

LD_EXEC_CYCLES_1_count, 377,             0
LD_EXEC_CYCLES_1_total_count, 377,             0

LD_EXEC_CYCLES_2_count, 377,             0
LD_EXEC_CYCLES_2_total_count, 377,             0

LD_EXEC_CYCLES_3_count, 377,             0
LD_EXEC_CYCLES_3_total_count, 377,             0

LD_EXEC_CYCLES_4_count, 377,             0
LD_EXEC_CYCLES_4_total_count, 377,             0

ICACHE_STAGE_STARVED_count, 378,          6604
ICACHE_STAGE_STARVED_total_count, 378,          6604

ICACHE_STAGE_NOT_STARVED_count, 378,           206
ICACHE_STAGE_NOT_STARVED_total_count, 378,           206

ICACHE_STAGE_STALLED_count, 379,             0
ICACHE_STAGE_STALLED_total_count, 379,             0

ICACHE_STAGE_NOT_STALLED_count, 379,          6810
